city,offense,address,day,month,year,time,shift,longitude,latitude
Austin,PROTECTIVE ORDER,UNKNOWN,1,23,2012,05:17:00,Morning,,
Austin,PROTECTIVE ORDER,UNKNOWN,7,2,2015,16:29:00,Evening,,
Austin,DISTURBANCE - OTHER,1919 SOUTH PLEASANT VALLEY DRIVE,8,13,2018,16:45:00,Evening,,
Austin,DWI,6000 BLK OF BOLM ROAD,7,15,2016,22:15:00,Night,,
Austin,RAPE,14000 BLOCK HYMILL DRIVE,9,11,2018,19:55:00,Evening,,
Austin,RAPE,5600 BLOCK HONEY BEE BEND,9,19,2015,20:30:00,Night,,
Austin,HARBORING RUNAWAY CHILD,8701 BLUFFSTONCE CV,4,5,2016,11:50:00,Morning,,
Austin,PROTECTIVE ORDER,UNKNOWN,4,24,2018,19:40:00,Evening,,
Austin,VIOL CITY ORDINANCE - DOG,SOUTH  IH 35,7,13,2016,13:29:00,Noon,,
Austin,PROTECTIVE ORDER,UNKNOWN,2,1,2013,18:21:00,Evening,,
Austin,DOC DISPLAY GUN/DEADLY PUB PLC,500 SOUTH 183 SB TO BEN WHITE EB RAMP,12,26,2017,14:35:00,Noon,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,29,2018,20:16:00,Night,,
Austin,ASSAULT BY THREAT,TRANSIENT CAMP BEHIND 900 RUTLAND,8,12,2012,16:30:00,Evening,,
Austin,FAMILY DISTURBANCE/PARENTAL,9200 PARK PLZ,9,6,2014,10:49:00,Morning,,
Austin,EXPLOSIVE ORDNANCE DISPOSAL,105 NW 4TH STREET,5,11,2016,18:15:00,Evening,,
Austin,VIOL OF BOND CONDITIONS,JOHNNY WEISMULLER  LINE,2,27,2017,19:03:00,Evening,,
Austin,PROTECTIVE ORDER,UNKNOWN,7,18,2017,15:44:00,Noon,,
Austin,CUSTODY ARREST TRAFFIC WARR,1200 BLK CARRIZO TRL,10,13,2012,23:26:00,Night,,
Austin,FAMILY DISTURBANCE,8557 NORTH CAPITAL OF TEXAS HIGHWAY,8,20,2018,12:53:00,Noon,,
Austin,DWI,8200 SOUTH IH 35 SVD NB,7,22,2018,03:39:00,Night,,
Austin,GRAFFITI,120 GASTON PL,4,21,2011,10:10:00,Morning,,
Austin,DISTURBANCE - OTHER,1600 WICHERSHAM  LINE,3,19,2016,18:18:00,Evening,,
Austin,ASSAULT WITH INJURY,7207 TUMBLEWEED DRIVE,8,21,2015,09:34:00,Morning,,
Austin,CRIMINAL TRESPASS/HOTEL,6201 EAST HWY 290 SVRD EB,8,18,2014,23:00:00,Night,,
Austin,POSS CONTROLLED SUB/NARCOTIC,600 BLK FARLY STREET,6,26,2014,14:24:00,Noon,,
Austin,FORGERY AND PASSING,13749 RESEARCH BOULEVARD,3,6,2014,08:30:00,Morning,,
Austin,POSS CONTROLLED SUB/NARCOTIC,8120 RESEARCH BOULEVARDSVRD NB,12,7,2014,03:09:00,Night,,
Austin,ONLINE SOLICITATION OF A MINOR,8100 ANDERSON MILL ROAD,8,8,2018,11:33:00,Morning,,
Austin,FALSE ALARM OR REPORT,4401 JESSAMINE HOLLOW,6,28,2016,19:05:00,Evening,,
Austin,WARRANT ARREST NON TRAFFIC,EAST  MLK BOULEVARD/ SPRINGDALE ROAD,5,16,2012,01:40:00,Night,,
Austin,DISTURBANCE - OTHER,EAST . 6TH AND BRAZOS STREETS,9,5,2018,03:30:00,Night,,
Austin,PROTECTIVE ORDER,UNKNOWN,10,14,2015,15:55:00,Noon,,
Austin,PROTECTIVE ORDER,UNKNOWN,2,28,2017,15:53:00,Noon,,
Austin,FAMILY DISTURBANCE,744 WEST WILLIAM CANNON ROAD,1,26,2014,05:06:00,Morning,,
Austin,POSS OF ALCOHOL - AGE 17 TO 20,2506   26TH STREET,8,25,2014,01:41:00,Night,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,28,2018,06:03:00,Morning,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,28,2018,07:23:00,Morning,,
Austin,INDECENCY WITH A CHILD/CONTACT,5800 BLOCK WIDELEAF DRIVE,4,17,2014,12:00:00,Noon,,
Austin,DOC EXPOSURE,EAST . 38TH ST./ GUADALUPE ST.,8,22,2018,03:12:00,Night,,
Austin,INDECENCY WITH A CHILD/CONTACT,400 BLOCK SMITTY  LINE   LOCKHART  TX,5,10,2014,10:12:00,Morning,,
Austin,PROTECTIVE ORDER,UNKNOWN,3,20,2014,09:35:00,Morning,,
Austin,AIRPORT PLACES WEAPON PROHIBIT,3600 PRESIDENTIAL BLVD/ ABIA,7,23,2017,10:18:00,Morning,,
Austin,DISTURBANCE - OTHER,HERE,5,26,2017,13:18:00,Noon,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,31,2018,18:56:00,Evening,,
Austin,PROTECTIVE ORDER,UNKNOWN,7,16,2015,17:35:00,Evening,,
Austin,PROTECTIVE ORDER,UNKNOWN,5,3,2015,17:44:00,Evening,,
Austin,RUNAWAY CHILD,2702-9200 NORTH PLAINS AVENUE,12,21,2016,20:12:00,Night,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,16,2012,16:09:00,Evening,,
Austin,DOC DISPLAY GUN/DEADLY PUB PLC,7105 NORTH IH 35 SVRD SB,1,17,2016,19:54:00,Evening,,
Austin,INDECENCY WITH A CHILD/CONTACT,2400 BLOCK ELARA DRIVE,7,31,2015,12:00:00,Noon,,
Austin,STATUTORY RAPE OF CHILD,5500 BLOCK BITTERWOOD DRIVE,4,8,2013,12:13:00,Noon,,
Austin,SEXUAL ASSAULT OF CHILD/OBJECT,3800 BLOCK SOUTHWAY DRIVE,7,19,2018,21:34:00,Night,,
Austin,PROTECTIVE ORDER,UNKNOWN,8,28,2018,06:25:00,Morning,,
Austin,PROTECTIVE ORDER,UNKNOWN,10,18,2013,09:58:00,Morning,,
Austin,HARASSMENT,1903 WESTRIDGE DRIVE,12,19,2016,00:00:00,Night,-97.77932,30.255924
Austin,HARASSMENT,7011 WEST PARMER LANE,3,11,2015,18:02:00,Evening,-97.77932,30.255924
Austin,PROTECTIVE ORDER,UNKNOWN,6,7,2016,18:22:00,Evening,-97.77932,30.255924
Austin,DISTURBANCE - OTHER,8454 NORTH LAMAR BOULEVARD ,3,13,2015,22:48:00,Night,-97.77932,30.255924
Austin,RUNAWAY CHILD,12151 NORTH IH 35 SVRD NB #1012,6,24,2011,15:30:00,Noon,-97.77932,30.255924
Austin,CUSTODY ARREST TRAFFIC WARR,8220 WEST HWY 71,12,8,2015,14:11:00,Noon,-97.77932,30.255924
Austin,VIOL OF EMERG PROTECTIVE ORDER,3614 BILL PRICE ROAD,7,27,2018,14:22:00,Noon,-97.77932,30.255924
Austin,ASSAULT W/INJURY-FAM/DATE VIOL,15900 NORTH IH35,3,29,2015,02:08:00,Night,-97.77932,30.255924
Austin,INDECENCY WITH A CHILD/CONTACT,00 BLOCK UNKNOWN,6,26,2012,12:46:00,Noon,-97.77932,30.255924
Austin,ASSAULT BY THREAT,2009 FAHALA SUNSET DR  SPICEWOOD,2,10,2017,08:00:00,Morning,-97.77932,30.255924
Austin,DWI,CONCORDIA UNIVERSITY,7,12,2018,23:55:00,Night,-97.77932,30.255924
Austin,ASSAULT W/INJURY-FAM/DATE VIOL,200 BLOCK N. PLEASANT VALLEY DRIVE,4,22,2015,20:21:00,Night,-97.77932,30.255924
Austin,PROTECTIVE ORDER,UNKNOWN,3,29,2012,18:51:00,Evening,-97.77932,30.255924
Austin,FAMILY DISTURBANCE,1400 CAMERON ROAD,8,14,2018,10:50:00,Morning,-97.77932,30.255924
Austin,INDECENCY WITH A CHILD/CONTACT,4800 BLOCK LOYOLA  LINE,10,7,2018,09:00:00,Morning,-97.77932,30.255924
Austin,HARASSMENT,11517 QUATER  HORSE TRAIL,2,22,2012,17:00:00,Evening,-97.77932,30.255924
Austin,CUSTODY ARREST TRAFFIC WARR,601 KINGFISHER CRK,3,11,2015,14:29:00,Noon,-97.77932,30.255924
Austin,DISTURBANCE - OTHER,8519 CAHILL DR #320,9,29,2011,02:50:00,Night,-97.77932,30.255924
Austin,DAMAGE CITY PROP,500 EAST BEN WHITE,3,21,2016,18:00:00,Evening,-97.77932,30.255924
Austin,DRIVING WHILE INTOX / FELONY,6300 EAST US 290 SVRD EB,3,31,2014,02:07:00,Night,-97.77932,30.255924
Austin,PROTECTIVE ORDER,UNKNOWN,9,7,2016,16:28:00,Evening,-97.77932,30.255924
Austin,RAPE,4000 BLOCK AYALA DRIVE,6,26,2012,01:00:00,Night,-97.77932,30.255924
Austin,BURGLARY OF VEHICLE,2820 EAST MARTIN LUTHER KING JR BOULEVARD,9,15,2014,18:30:00,Evening,-97.710655,30.281801
Austin,VIOL CITY ORDINANCE - TAXI,CITYWIDE,4,11,2015,20:50:00,Night,-97.710655,30.281801
Austin,CUSTODY ARREST TRAFFIC WARR,8128 NORTH IH35 SVRD SB,9,27,2013,06:24:00,Morning,-97.710655,30.281801
Austin,AGG RAPE,9500 BLOCK NORTH LAMAR BOULEVARD,6,15,2015,20:00:00,Night,-97.710655,30.281801
Austin,VIOL CITY ORDINANCE - OTHER,183 / PEYTON GIN,3,3,2014,12:52:00,Noon,-97.710655,30.281801
Austin,AGG ASLT STRANGLE/SUFFOCATE,4800 BLOCK DUVAL ROAD,8,26,2018,16:39:00,Evening,-97.710655,30.281801
Austin,PUBLIC LEWDNESS,5312 KRUGER  LINE,11,28,2016,10:00:00,Morning,-97.710655,30.281801
Austin,CRIMINAL MISCHIEF,5936 LOS DIOS PL,9,17,2011,02:00:00,Night,-97.710655,30.281801
Austin,INDECENCY WITH A CHILD/CONTACT,00 BLOCK UNKNOWN,6,20,2012,12:09:00,Noon,-97.710655,30.281801
Austin,DISTURBANCE - OTHER,TOLL ROAD 45 @ CRANE ROAD,5,9,2016,07:45:00,Morning,-97.710655,30.281801
Austin,PROTECTIVE ORDER,UNKNOWN,6,23,2013,00:04:00,Night,-97.710655,30.281801
Austin,DWI 2ND,501 EAST BEN WHITE BOULEVARDSVRD,12,11,2015,02:14:00,Night,-97.710655,30.281801
Austin,AUTO THEFT,2311 MONARCH DRIVE,12,2,2017,18:17:00,Evening,-97.82778,30.178411
Austin,FAILURE TO REG AS SEX OFFENDER,2100 BLOCK BURTON DRIVE,12,20,2018,16:00:00,Evening,-97.82778,30.178411
Austin,WARRANT ARREST NON TRAFFIC,TAHOE TRL / WEST GATE BOULEVARD,7,21,2016,23:22:00,Night,-97.804474,30.22467
Austin,ASSAULT WITH INJURY,1318 ROCKY RIVER ROAD,7,3,2016,18:30:00,Evening,-97.804474,30.22467
Austin,ASSAULT  CONTACT-SEXUAL NATURE,700 BLOCK AZIE MORTON ROAD,8,7,2018,14:47:00,Noon,-97.804474,30.22467
Austin,ASSAULT  CONTACT-SEXUAL NATURE,00 BLOCK 24TH ST / SAN ANTONIO STREET,8,22,2018,02:57:00,Night,-97.804474,30.22467
