city,offense,address,day,month,year,time,shift,longitude,latitude,weapon
Baltimore,ARSON,2700 EAST BIDDLE STREET,26,9,2020,02:25:00,Night,-76.57964,39.304943,FIRE
Baltimore,AUTO THEFT,100 FAGLEY STREET,26,9,2020,23:00:00,Night,-76.564644,39.291447,NA
Baltimore,LARCENY,2200 WHITTIER AVENUE,26,9,2020,20:30:00,Night,-76.64864,39.315933,NA
Baltimore,AUTO THEFT,1400 WARD STREET,26,9,2020,06:30:00,Morning,-76.63624,39.279156,NA
Baltimore,ROBBERY - COMMERCIAL,4200 ERDMAN AVENUE,26,9,2020,01:30:00,Night,-76.5677,39.313408,FIREARM
Baltimore,LARCENY,4000 WEST ROGERS AVENUE,26,9,2020,21:00:00,Night,-76.689186,39.34839,NA
Baltimore,COMMON ASSAULT,1300 CAMBRIA STREET,26,9,2020,17:32:00,Evening,-76.590675,39.232006,NA
Baltimore,AUTO THEFT,2200 EUTAW PL,26,9,2020,17:00:00,Evening,-76.63428,39.31065,NA
Baltimore,COMMON ASSAULT,2000 SWANSEA ROAD,26,9,2020,23:25:00,Night,-76.57838,39.355053,NA
Baltimore,COMMON ASSAULT,1200 CLEVELAND STREET,26,9,2020,11:20:00,Morning,-76.63284,39.280033,NA
Baltimore,LARCENY FROM AUTO,5600 FAIR OAKS AVENUE,26,9,2020,02:30:00,Night,-76.56595,39.357395,NA
Baltimore,LARCENY,SOUTH T & NORTH MOUNT STREET,26,9,2020,22:00:00,Night,-76.64482,39.30671,NA
Baltimore,COMMON ASSAULT,2100 CLIFTWOOD AVENUE,26,9,2020,22:00:00,Night,-76.58867,39.313553,NA
Baltimore,HOMICIDE,3100 SWANN DRIVE,26,9,2020,07:33:00,Morning,-76.64248,39.317513,FIREARM
Baltimore,LARCENY,4300 SHELDON AVENUE,26,9,2020,22:00:00,Night,-76.561905,39.32648,NA
Baltimore,ROBBERY - COMMERCIAL,6600 HOLABIRD AVENUE,26,9,2020,23:20:00,Night,-76.53222,39.272564,NA
Baltimore,AGG. ASSAULT,1800 BLOOMINGDALE ROAD,26,9,2020,21:00:00,Night,-76.66973,39.307957,FIREARM
Baltimore,COMMON ASSAULT,500 EAST 33RD STREET,26,9,2020,02:30:00,Night,-76.60936,39.328564,NA
Baltimore,LARCENY,600 EAST 34TH STREET,26,9,2020,21:25:00,Night,-76.6064,39.32978,NA
Baltimore,COMMON ASSAULT,1200 WEST PRATT STREET,26,9,2020,15:01:00,Noon,-76.637375,39.285534,NA
Baltimore,COMMON ASSAULT,1100 SEABOARD CT,26,9,2020,16:45:00,Evening,-76.5976,39.227116,NA
Baltimore,COMMON ASSAULT,2500 SOUTHDENE AVENUE,26,9,2020,21:52:00,Night,-76.64834,39.25445,NA
Baltimore,AGG. ASSAULT,AV & WEST LAFAYETTE AVENUE,26,9,2020,00:08:00,Night,-76.633575,39.299797,HANDS
Baltimore,ROBBERY - CARJACKING,7100 BOXFORD ROAD,26,9,2020,21:00:00,Night,-76.70338,39.368553,FIREARM
Baltimore,LARCENY,1900 DRUID HILL AVENUE,26,9,2020,23:00:00,Night,-76.63449,39.306873,NA
Baltimore,ROBBERY - STREET,7100 BOXFORD ROAD,26,9,2020,21:00:00,Night,-76.70338,39.368553,FIREARM
Baltimore,LARCENY FROM AUTO,1800 ORLEANS STREET,26,9,2020,13:20:00,Noon,-76.59131,39.29518,NA
Baltimore,ROBBERY - STREET,7100 BOXFORD ROAD,26,9,2020,21:00:00,Night,-76.70338,39.368553,FIREARM
Baltimore,LARCENY,2900 ROSALIE AVENUE,26,9,2020,14:50:00,Noon,-76.70338,39.368553,NA
Baltimore,AGG. ASSAULT,5000 QUEENSBERRY AVENUE,26,9,2020,23:30:00,Night,-76.67108,39.34884,FIREARM
Baltimore,COMMON ASSAULT,200 STONECROFT ROAD,26,9,2020,01:04:00,Night,-76.70722,39.280483,NA
Baltimore,BURGLARY,1600 VINCENT CT,26,9,2020,23:18:00,Night,-76.64427,39.307358,NA
Baltimore,AUTO THEFT,3200 RAMONA AVENUE,26,9,2020,10:50:00,Morning,-76.56553,39.32468,NA
Baltimore,COMMON ASSAULT,2300 WEST LANVALE STREET,26,9,2020,01:22:00,Night,-76.65365,39.297104,NA
Baltimore,COMMON ASSAULT,2200 PRESSTMAN STREET,26,9,2020,19:57:00,Evening,-76.65289,39.305126,NA
Baltimore,LARCENY,5800 LEITH WALK,26,9,2020,14:00:00,Noon,-76.59086,39.36291,NA
Baltimore,AUTO THEFT,1200 BEAUMONT AVENUE,26,9,2020,02:30:00,Night,-76.597786,39.35089,NA
Baltimore,AUTO THEFT,1500 LANCASTER STREET,26,9,2020,18:30:00,Evening,-76.59648,39.282486,NA
Baltimore,COMMON ASSAULT,2000 SWANSEA ROAD,26,9,2020,23:25:00,Night,-76.57838,39.355053,NA
Baltimore,ROBBERY - STREET,1600 COLE STREET,26,9,2020,15:30:00,Noon,-76.64209,39.282265,NA
Baltimore,LARCENY,100 CALLENDER STREET,26,9,2020,13:44:00,Noon,-76.631355,39.286827,NA
Baltimore,LARCENY,100 NORTH GREENE STREET,26,9,2020,22:00:00,Night,-76.62379,39.290333,NA
Baltimore,LARCENY FROM AUTO,5500 WILVAN AVENUE,26,9,2020,23:00:00,Night,-76.69987,39.338356,NA
Baltimore,COMMON ASSAULT,7200 CHALKSTONE DRIVE,26,9,2020,05:45:00,Morning,-76.70793,39.367374,NA
Baltimore,COMMON ASSAULT,4700 WAKEFIELD ROAD,26,9,2020,04:01:00,Night,-76.69489,39.31873,NA
Baltimore,AUTO THEFT,6600 VINCENT  LINE,26,9,2020,02:30:00,Night,-76.70838,39.3549,NA
Baltimore,BURGLARY,6400 REISTERSTOWN ROAD,26,9,2020,01:30:00,Night,-76.7014,39.35557,NA
Baltimore,AUTO THEFT,900 NORTH LUZERNE AVENUE,26,9,2020,17:00:00,Evening,-76.580986,39.30146,NA
Baltimore,ROBBERY - CARJACKING,,26,9,2020,21:14:00,Night,-76.66931,39.350475,OTHER
Baltimore,BURGLARY,4200 FRANKFORD AVENUE,26,9,2020,03:33:00,Night,-76.55138,39.33772,NA
Baltimore,AUTO THEFT,2300 PENNSYLVANIA AVENUE,26,9,2020,14:00:00,Noon,-76.55138,39.33772,NA
Baltimore,BURGLARY,3400 FREDERICK AVENUE,26,9,2020,06:03:00,Morning,-76.67431,39.28132,NA
Baltimore,COMMON ASSAULT,3300 WILKENS AVENUE,26,9,2020,16:20:00,Evening,-76.67252,39.27353,NA
Baltimore,LARCENY,300 FOLCROFT STREET,26,9,2020,16:25:00,Evening,-76.542015,39.289665,NA
Baltimore,AGG. ASSAULT,SOUTH TRICKER ST & WEST BALTIMORE STREET,26,9,2020,05:00:00,Morning,-76.640976,39.288437,OTHER
Baltimore,COMMON ASSAULT,0 SOUTH EAST AVENUE,26,9,2020,13:30:00,Noon,-76.57192,39.2919,NA
Baltimore,COMMON ASSAULT,400 NORTH BE LINEORD AVENUE,26,9,2020,00:29:00,Night,-76.57865,39.296272,NA
Baltimore,ROBBERY - COMMERCIAL,400 NORTH GLOVER STREET,26,9,2020,11:13:00,Morning,-76.58003,39.295773,NA
Baltimore,ROBBERY - STREET,500 SOUTH LAKEWOOD AVENUE,26,9,2020,09:40:00,Morning,-76.57868,39.28611,NA
Baltimore,ROBBERY - CARJACKING,2200 WEST COLD SPRING  LINE,26,9,2020,08:35:00,Morning,-76.65195,39.343803,FIREARM
Baltimore,LARCENY,2800 FOSTER AVENUE,26,9,2020,11:13:00,Morning,-76.57702,39.28412,NA
Baltimore,LARCENY,2300 EDMONDSON AVENUE,26,9,2020,21:00:00,Night,-76.65333,39.294907,NA
Baltimore,LARCENY,600 NORTH MILTON AVENUE,26,9,2020,23:12:00,Night,-76.5823,39.297993,NA
Baltimore,ARSON,1200 NORTH LINWOOD AVENUE,26,9,2020,02:25:00,Night,-76.57695,39.305042,FIRE
