city,offense,address,day,month,year,time,shift,longitude,latitude,weapon,sex,age
LACity,VEHICLE - STOLEN,1800 SOUTH  WESTMORELAND                 AVENUE,16,4,2011,01:03:00,Night,-118.2896,34.0416,,,0
LACity,VEHICLE - STOLEN,500    GULF                         AVENUE,5,12,2011,20:00:00,Night,-118.2725,33.7751,,,0
LACity,VEHICLE - STOLEN,7TH,3,3,2011,19:02:00,Evening,-118.2566,34.0473,,,0
LACity,VEHICLE - STOLEN,100 EAST  AVENUE 32,26,11,2011,05:02:00,Morning,-118.214,34.082,,,0
LACity,CHILD NEGLECT (SEE 300 W.I.C.),200    CRANDALL                     STREET,2,4,2011,13:03:00,Noon,-118.2728,34.0667,,M,16
LACity,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),600 NORTH  KILKEA                       DRIVE,7,3,2011,12:00:00,Noon,-118.3669,34.0816,,M,39
LACity,VEHICLE - STOLEN,300 WEST  70TH                         STREET,22,10,2011,23:03:00,Night,-118.2783,33.9765,,,0
LACity,BATTERY - SIMPLE ASSAULT,22500    FLAMINGO                     STREET,19,1,2011,12:00:00,Noon,-118.6161,34.1482,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,47
LACity,BATTERY - SIMPLE ASSAULT,98TH                         STREET,30,9,2011,21:02:05,Night,-118.2652,33.9475,UNKNOWN FIREARM,M,55
LACity,BURGLARY FROM VEHICLE,19000    SHERMAN                      WY,2,2,2011,21:00:00,Night,-118.547,34.2011,,M,25
LACity,THEFT OF IDENTITY,10000    OAK PARK                     AVENUE,12,2,2011,12:00:00,Noon,-118.5051,34.2522,,F,58
LACity,BURGLARY FROM VEHICLE,BROADWAY,3,7,2011,22:00:00,Night,-118.248,34.051,,M,27
LACity,TRESPASSING,17800    LASSEN                       STREET,2,8,2011,14:02:00,Noon,-118.5216,34.2504,,M,33
LACity,ROBBERY,LAUREL CANYON                BOULEVARD ,9,7,2011,12:00:05,Noon,-118.3965,34.2217,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,42
LACity,INTIMATE PARTNER - SIMPLE ASSAULT,14000    ASTORIA                      STREET,13,12,2011,07:03:00,Morning,-118.4383,34.312,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,35
LACity,BURGLARY,900 EAST  91ST                         STREET,22,10,2011,03:00:00,Night,-118.2586,33.9538,,M,56
LACity,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",7200    HINDS                        AVENUE,10,6,2011,18:00:00,Evening,-118.391,34.2012,,M,37
LACity,BATTERY - SIMPLE ASSAULT,WEST ASHINGTON                   BOULEVARD ,10,8,2011,00:01:05,Night,-118.3486,34.0406,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,26
LACity,VEHICLE - STOLEN,SOUTH AN PEDRO,18,8,2011,17:03:00,Evening,-118.2695,33.9292,,,0
LACity,THEFT PLAIN - PETTY ($950 & UNDER),500    VENEZIA                      AVENUE,11,5,2011,10:00:00,Morning,-118.4599,33.989,,M,33
LACity,BATTERY - SIMPLE ASSAULT,WEST OODMAN,19,5,2011,00:00:05,Night,-118.4543,34.2572,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,38
LACity,THEFT OF IDENTITY,1600 NORTH  FULLER                       AVENUE,8,11,2011,17:00:00,Evening,-118.3489,34.0998,,M,66
LACity,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",5600    LANKERSHIM                   BOULEVARD ,14,4,2011,15:00:00,Noon,-118.379,34.1722,,F,38
LACity,BURGLARY,17000    WESTBURY                     DRIVE,25,12,2011,10:03:00,Morning,-118.5027,34.299,,M,57
LACity,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",7TH                          STREET,30,6,2011,18:02:00,Evening,-118.2835,33.7378,VEHICLE,M,41
LACity,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1200 SOUTH  BUNDY                        DRIVE,30,9,2011,16:00:00,Evening,-118.4675,34.0441,,M,58
LACity,BURGLARY FROM VEHICLE,500 WEST  6TH                          STREET,15,10,2011,06:00:00,Morning,-118.2879,33.7388,,M,20
LACity,THEFT PLAIN - PETTY ($950 & UNDER),4400    VICTORIA PARK                PL,12,9,2011,22:03:00,Night,-118.3312,34.0468,,M,54
LACity,VANDALISM - MISDEAMEANOR ($399 OR UNDER),4500    LONGRIDGE                    AVENUE,12,2,2011,14:05:01,Noon,-118.4214,34.1522,,F,39
LACity,CRIMINAL THREATS - NO WEAPON DISPLAYED,800 EAST  115TH                        STREET,9,8,2011,08:00:00,Morning,-118.2603,33.9301,VERBAL THREAT,F,12
LACity,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",108TH,30,5,2011,19:02:00,Evening,-118.2826,33.9383,HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,F,23
LACity,THEFT PLAIN - PETTY ($950 & UNDER),700 WEST  90TH                         STREET,31,7,2011,10:00:00,Morning,-118.2869,33.9551,,F,29
LACity,VEHICLE - STOLEN,48TH,7,4,2011,14:05:00,Noon,-118.274,33.9992,,,0
LACity,"BURGLARY, ATTEMPTED",10700    NATIONAL                     BOULEVARD ,24,8,2011,14:01:00,Noon,-118.4296,34.0271,UNKNOWN WEAPON/OTHER WEAPON,M,41
LACity,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),3200    WELDON                       AVENUE,31,5,2011,18:00:00,Evening,-118.2406,34.1217,,,0
LACity,VEHICLE - STOLEN,SOUTH ELMA,22,1,2011,23:00:00,Night,-118.331,34.0998,,,0
LACity,BATTERY - SIMPLE ASSAULT,LAUREL CANYON,24,12,2011,00:00:01,Night,-118.4258,34.2528,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,23
LACity,"BUNCO, PETTY THEFT",1500    PALOS VERDES                 DRIVE,5,8,2011,08:03:00,Morning,-118.3016,33.7801,,M,78
LACity,BATTERY - SIMPLE ASSAULT,8000    VINELAND                     AVENUE,7,3,2011,14:00:00,Noon,-118.3703,34.2157,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,49
LACity,THEFT OF IDENTITY,900 EAST  M                            STREET,1,1,2011,10:00:00,Morning,-118.2515,33.7891,,M,41
LACity,VEHICLE - STOLEN,14800    NURMI                        STREET,15,8,2011,11:03:00,Morning,-118.4515,34.3075,,,0
LACity,VIOLATION OF COURT ORDER,900 EAST  92ND                         STREET,29,3,2011,07:02:00,Morning,-118.2586,33.9529,,M,38
LACity,BATTERY - SIMPLE ASSAULT,5100 SOUTH  NORMANDIE                    AVENUE,17,7,2011,22:03:00,Night,-118.3002,33.9969,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,23
LACity,ROBBERY,WEST ILMINGTON,3,9,2011,23:03:00,Night,-118.2744,33.7823,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,27
LACity,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),HATTERAS                     STREET,12,9,2011,12:00:00,Noon,-118.4345,34.1758,,M,24
LACity,VANDALISM - MISDEAMEANOR ($399 OR UNDER),MELROSE                      AVENUE,22,10,2011,22:05:00,Night,-118.3522,34.0836,,M,41
LACity,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",700 WEST  ROSECRANS                    AVENUE,15,9,2011,07:01:05,Morning,-118.2873,33.9019,,F,48
LACity,INTIMATE PARTNER - SIMPLE ASSAULT,500    CROCKER                      STREET,29,4,2011,00:03:00,Night,-118.2427,34.0435,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,59
LACity,CRIMINAL HOMICIDE,300 EAST  98TH                         STREET,13,5,2011,17:00:05,Evening,-118.2695,33.9473,SEMI-AUTOMATIC PISTOL,M,31
LACity,BURGLARY,9500    BEVERLYWOOD                  STREET,5,9,2011,04:03:00,Night,-118.3945,34.0395,,M,68
LACity,BATTERY - SIMPLE ASSAULT,39TH,13,1,2011,21:00:05,Night,-118.3089,34.0146,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,23
LACity,BURGLARY,9600    FRANKIRST                    AVENUE,26,1,2011,10:03:00,Morning,-118.4888,34.2452,,F,41
LACity,THEFT OF IDENTITY,500    WALL                         STREET,2,10,2011,01:00:06,Night,-118.2458,34.0449,,M,38
