city,offense,address,day,month,year,time,shift,longitude,latitude,weapon
Rochester,Larceny,15 GASLIGHT LANE,13,8,2020,22:00:00,Night,-77.542755,43.15029,* No Weapon Specified *
Rochester,Larceny,377 WEBSTER,1,10,2020,08:00:00,Morning,-77.57447,43.16844,* No Weapon Specified *
Rochester,Larceny,127 HEWLITT STREET,7,8,2020,22:00:00,Night,-77.57447,43.16844,* No Weapon Specified *
Rochester,Larceny,65 ST PAUL STREET,1,10,2020,17:00:00,Evening,-77.609665,43.15819,* No Weapon Specified *
Rochester,Aggravated Assault,641 PORTLAND AVENUE,28,5,2020,18:02:09,Evening,-77.58988,43.177776,Other Weapon
Rochester,Larceny,24 RAMONA PARK,9,8,2020,20:04:00,Night,-77.651245,43.197178,* No Weapon Specified *
Rochester,Larceny,601 ELMWOOD AVENUE,13,8,2020,10:03:00,Morning,-77.62436,43.123608,* No Weapon Specified *
Rochester,Larceny,301 EXCHANGE BOULEVARD,1,1,2019,11:03:09,Morning,-77.612015,43.14929,* No Weapon Specified *
Rochester,Larceny,1050 LAKE AVENUE,31,7,2020,15:00:01,Noon,-77.630745,43.18479,* No Weapon Specified *
Rochester,Aggravated Assault,1319 NORTH STREET,22,9,2020,17:01:04,Evening,-77.59576,43.183693,Knife/Cutting Instrument
Rochester,Larceny,31 GREENNOLLS DRIVE,8,8,2020,19:03:00,Evening,-77.59576,43.183693,* No Weapon Specified *
Rochester,Larceny,86 STEWART STREET,8,8,2020,12:00:00,Noon,-77.61329,43.12741,* No Weapon Specified *
Rochester,Larceny,172 AZALEA ROAD,8,8,2020,05:03:00,Morning,-77.60606,43.125984,* No Weapon Specified *
Rochester,Larceny,537 FRATERNITY ROAD,4,8,2020,09:00:00,Morning,-77.63262,43.12943,* No Weapon Specified *
Rochester,Larceny,107 GREGORY PARK,8,8,2020,20:00:00,Night,-77.60697,43.142513,* No Weapon Specified *
Rochester,Burglary,50 RAINES PARK,7,8,2020,04:00:00,Night,-77.63471,43.183975,* No Weapon Specified *
Rochester,Larceny,205 HUMBOLT STREET,16,6,2020,07:00:00,Morning,-77.56251,43.153767,* No Weapon Specified *
Rochester,Burglary,1441 EAST AVENUE,9,8,2020,11:03:05,Morning,-77.566055,43.147614,* No Weapon Specified *
Rochester,Burglary,125 GORSLINE STREET,21,7,2020,20:01:05,Night,-77.62578,43.191616,* No Weapon Specified *
Rochester,Larceny,57 POTOMAC DRIVE,10,8,2020,00:00:00,Night,-77.65219,43.153885,* No Weapon Specified *
Rochester,Larceny,4 IRVINGTON ROAD,10,8,2020,21:05:08,Night,-77.62014,43.119587,* No Weapon Specified *
Rochester,Burglary,48 FLOWER CITY PARK,2,8,2020,15:00:00,Noon,-77.625854,43.19288,* No Weapon Specified *
Rochester,Aggravated Assault,140 CUMMINGS STREET,5,8,2020,14:03:00,Noon,-77.573616,43.173782,Semiautomatic Handgun
Rochester,Larceny,1067 NORTH WINTON ROAD,7,8,2020,04:03:01,Night,-77.54457,43.166084,* No Weapon Specified *
Rochester,Burglary,1279 MONROE AVENUE,31,7,2020,09:00:00,Morning,-77.57759,43.13673,* No Weapon Specified *
Rochester,Aggravated Assault,182 CADY STREET,20,5,2020,14:02:07,Noon,-77.63176,43.14603,Blunt Object
Rochester,Burglary,1450 HUDSON AVENUE,30,7,2020,01:00:00,Night,-77.59953,43.192924,* No Weapon Specified *
Rochester,Larceny,116 WOODWARD STREET,7,8,2020,10:00:05,Morning,-77.59457,43.16293,* No Weapon Specified *
Rochester,Larceny,301 EASTMAN AVENUE,1,6,2020,13:00:04,Noon,-77.63649,43.201958,* No Weapon Specified *
Rochester,Larceny,303 FARMINTON ROAD,7,8,2020,00:00:00,Night,-77.546875,43.165607,* No Weapon Specified *
Rochester,Larceny,32 WALL STREET,13,6,2020,17:00:00,Evening,-77.61274,43.12903,* No Weapon Specified *
Rochester,Larceny,45 REDFIELD STREET,10,8,2020,00:00:00,Night,-77.62532,43.240875,* No Weapon Specified *
Rochester,Larceny,380 RAINES PKWY,29,7,2020,11:00:00,Morning,-77.633514,43.190773,* No Weapon Specified *
Rochester,Larceny,113 MERCHANTS ROAD,3,8,2020,22:03:00,Night,-77.546104,43.15855,* No Weapon Specified *
Rochester,Burglary,263 SOUTH PLYMOUTH AVENUE,22,6,2020,00:00:00,Night,-77.61417,43.14961,* No Weapon Specified *
Rochester,Larceny,183 CYPRESS STREET,13,6,2020,21:00:00,Night,-77.60888,43.13953,* No Weapon Specified *
Rochester,Larceny,100 SEWARD STREET,25,7,2020,07:01:06,Morning,-77.62299,43.14454,* No Weapon Specified *
Rochester,Burglary,251 PARKWAY AVENUE,21,7,2020,14:00:00,Noon,-77.63473,43.169155,* No Weapon Specified *
Rochester,Larceny,11 BROOKLYN STREET,15,6,2020,12:02:07,Noon,-77.63735,43.177765,* No Weapon Specified *
Rochester,Aggravated Assault,49 BENNINGTON DRIVE,15,5,2020,09:00:00,Morning,-77.64016,43.215145,Not Reported
Rochester,Aggravated Assault,216 HUDSON AVENUE,26,7,2020,21:05:00,Night,-77.60174,43.167496,Firearm
Rochester,Larceny,427 BROADWAY STREET,14,6,2020,14:00:00,Noon,-77.60159,43.148235,* No Weapon Specified *
Rochester,Larceny,81 WILLIAM WARFIELD DRIVE,10,6,2020,13:00:00,Noon,-77.609955,43.170853,* No Weapon Specified *
Rochester,Larceny,260 GARLAND AVENUE,29,5,2020,15:00:00,Noon,-77.66358,43.15895,* No Weapon Specified *
Rochester,Larceny,601 ELMWOOD AVENUE,3,8,2020,05:00:09,Morning,-77.62436,43.123608,* No Weapon Specified *
