city,CrimeDate,CrimeTime,Location,Description,Weapon,Longitude,Latitude
Baltimore,09/26/2020,02:25:00,2700 E BIDDLE ST,ARSON,FIRE,-76.579642698756,39.304941651902
Baltimore,09/26/2020,23:00:00,100 FAGLEY ST,AUTO THEFT,NA,-76.564647093991,39.291446433223
Baltimore,09/26/2020,20:30:00,2200 WHITTIER AVE,LARCENY,NA,-76.648641917255,39.315931781121
Baltimore,09/26/2020,06:30:00,1400 WARD ST,AUTO THEFT,NA,-76.636240533088,39.27915478268
Baltimore,09/26/2020,01:30:00,4200 ERDMAN AVE,ROBBERY - COMMERCIAL,FIREARM,-76.567705895952,39.313407228336
Baltimore,09/26/2020,21:00:00,4000 W ROGERS AVE,LARCENY,NA,-76.689189210357,39.348390027499
Baltimore,09/26/2020,17:32:00,1300 CAMBRIA ST,COMMON ASSAULT,NA,-76.59067275,39.23200621264
Baltimore,09/26/2020,17:00:00,2200 EUTAW PL,AUTO THEFT,NA,-76.634277559,39.310651423517
Baltimore,09/26/2020,23:25:00,2000 SWANSEA RD,COMMON ASSAULT,NA,-76.578378668419,39.355054583859
Baltimore,09/26/2020,11:20:00,1200 CLEVELAND ST,COMMON ASSAULT,NA,-76.632840474624,39.280032436421
Baltimore,09/26/2020,02:30:00,5600 FAIR OAKS AVE,LARCENY FROM AUTO,NA,-76.565945836855,39.357396782195
Baltimore,09/26/2020,22:00:00,ST & N MOUNT ST,LARCENY,NA,-76.644819,39.306708
Baltimore,09/26/2020,22:00:00,2100 CLIFTWOOD AVE,COMMON ASSAULT,NA,-76.588667919531,39.313551996992
Baltimore,09/26/2020,07:33:00,3100 SWANN DR,HOMICIDE,FIREARM,-76.642479166732,39.317513652011
Baltimore,09/26/2020,22:00:00,4300 SHELDON AVE,LARCENY,NA,-76.561905318395,39.326482129811
Baltimore,09/26/2020,23:20:00,6600 HOLABIRD AVE,ROBBERY - COMMERCIAL,NA,-76.532221769688,39.272564020938
Baltimore,09/26/2020,21:00:00,1800 BLOOMINGDALE RD,AGG. ASSAULT,FIREARM,-76.669733449522,39.307955684091
Baltimore,09/26/2020,02:30:00,500 E 33RD ST,COMMON ASSAULT,NA,-76.609361611429,39.328561888571
Baltimore,09/26/2020,21:25:00,600 E 34TH ST,LARCENY,NA,-76.606397681991,39.329780006311
Baltimore,09/26/2020,15:01:00,1200 W PRATT ST,COMMON ASSAULT,NA,-76.637378374885,39.285532231981
Baltimore,09/26/2020,16:45:00,1100 SEABOARD CT,COMMON ASSAULT,NA,-76.597604998327,39.227114563994
Baltimore,09/26/2020,21:52:00,2500 SOUTHDENE AVE,COMMON ASSAULT,NA,-76.648341310271,39.254452191013
Baltimore,09/26/2020,00:08:00,AV & W LAFAYETTE AV,AGG. ASSAULT,HANDS,-76.6335735,39.299796
Baltimore,09/26/2020,21:00:00,7100 BOXFORD RD,ROBBERY - CARJACKING,FIREARM,-76.703373412509,39.368552554706
Baltimore,09/26/2020,23:00:00,1900 DRUID HILL AVE,LARCENY,NA,-76.634488435241,39.306871773732
Baltimore,09/26/2020,21:00:00,7100 BOXFORD RD,ROBBERY - STREET,FIREARM,-76.703373412509,39.368552554706
