city,Date,Block,Primary Type,Year,Latitude,Longitude
Chicago,11/20/2011 06:00:00 PM,024XX N MARMORA AVE,OFFENSE INVOLVING CHILDREN,2011,41.924770833,-87.773317002
Chicago,05/01/2011 07:30:00 PM,015XX N LOCKWOOD AVE,DECEPTIVE PRACTICE,2011,,
Chicago,09/01/2011 12:00:00 AM,003XX S FRANCISCO AVE,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,10/03/2011 10:50:00 AM,002XX E ERIE ST,DECEPTIVE PRACTICE,2011,,
Chicago,08/01/2011 03:00:00 AM,045XX N CENTRAL PARK AVE,CRIMINAL SEXUAL ASSAULT,2011,41.963382081,-87.718105325
Chicago,06/11/2011 10:10:00 PM,042XX W POTOMAC AVE,HOMICIDE,2011,41.904380494,-87.732466036
Chicago,05/01/2011 12:00:00 AM,045XX S PAULINA ST,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,06/23/2011 11:07:00 AM,028XX S KOLIN AVE,HOMICIDE,2011,41.839585654,-87.732936793
Chicago,01/02/2011 03:00:00 PM,023XX S MARSHALL BLVD,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,09/25/2011 12:01:00 AM,030XX N KILPATRICK AVE,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,01/01/2011 12:01:00 AM,095XX S LOOMIS ST,CRIMINAL SEXUAL ASSAULT,2011,,
Chicago,09/12/2011 12:00:00 PM,015XX N AVERS AVE,DECEPTIVE PRACTICE,2011,,
Chicago,01/22/2011 11:00:00 PM,044XX W JACKSON BLVD,SEX OFFENSE,2011,,
Chicago,08/06/2011 08:00:00 AM,006XX W GARFIELD BLVD,DECEPTIVE PRACTICE,2011,,
Chicago,09/01/2011 12:01:00 AM,058XX S SACRAMENTO AVE,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,09/01/2011 12:00:00 AM,004XX W MARQUETTE RD,SEX OFFENSE,2011,,
Chicago,07/27/2011 09:45:00 PM,035XX S HALSTED ST,BURGLARY,2011,41.830196467,-87.646092941
Chicago,02/13/2011 07:56:59 AM,017XX W LUNT AVE,BURGLARY,2011,42.009005337,-87.672845936
Chicago,12/31/2011 09:00:00 AM,074XX S STONY ISLAND AVE,CRIMINAL SEXUAL ASSAULT,2011,41.760364728,-87.585771814
Chicago,06/21/2011 11:16:00 PM,074XX S STEWART AVE,BATTERY,2011,41.759090808,-87.634511473
Chicago,04/23/2011 12:00:00 AM,024XX N MARMORA AVE,OFFENSE INVOLVING CHILDREN,2011,,
