city,DATE OCC,TIME OCC,Crm Cd Desc,Vict Age,Vict Sex,Weapon Desc,LOCATION,LAT,LON
LACity,02/20/2010 12:00:00 AM,1350,VIOLATION OF COURT ORDER,48,M,,300 E  GAGE                         AV,33.9825,-118.2695
LACity,09/12/2010 12:00:00 AM,45,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,,SEPULVEDA                    BL,33.9599,-118.3962
LACity,08/09/2010 12:00:00 AM,1515,OTHER MISCELLANEOUS CRIME,0,M,,1300 E  21ST                         ST,34.0224,-118.2524
LACity,01/05/2010 12:00:00 AM,150,VIOLATION OF COURT ORDER,47,F,HAND GUN,CAHUENGA                     BL,34.1016,-118.3295
LACity,01/02/2010 12:00:00 AM,2100,"RAPE, ATTEMPTED",47,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",8TH                          ST,34.0387,-118.2488
LACity,01/04/2010 12:00:00 AM,1650,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,,700 W  7TH                          ST,34.048,-118.2577
LACity,01/07/2010 12:00:00 AM,2005,BURGLARY FROM VEHICLE,46,M,,PICO                         BL,34.0389,-118.2643
LACity,01/08/2010 12:00:00 AM,2100,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,M,UNKNOWN WEAPON/OTHER WEAPON,500    CROCKER                      ST,34.0435,-118.2427
LACity,01/09/2010 12:00:00 AM,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 W  OLYMPIC                      BL,34.045,-118.264
LACity,01/06/2010 12:00:00 AM,2100,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,M,,200 S  OLIVE                        ST,34.0538,-118.2488
LACity,01/14/2010 12:00:00 AM,1445,BATTERY - SIMPLE ASSAULT,38,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900 N  BROADWAY,34.064,-118.2375
LACity,01/14/2010 12:00:00 AM,2000,ROBBERY,40,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",ALAMEDA                      ST,34.035,-118.2386
